PlotID,TreeID,CurrentX,CurrentY,Diameter_cm,Height_m
10013,35,420146.91641995154,6483213.997288585,6.5,6.496037847366214
10013,36,420145.579138496,6483214.357536151,6.75,6.752693969519453
10013,37,420146.2321922821,6483208.2223572,7.000000000000001,7.008874823275616
10013,38,420148.7593338576,6483206.532962202,9.1,9.120268610784313
10013,39,420149.0734016004,6483204.450496969,5.65,5.622904801966327
10013,40,420149.9032722687,6483203.12410537,6.9,6.906472182525037
10013,41,420149.7541668133,6483201.935211952,5.9,5.879443510558029
10013,42,420151.18509161385,6483200.744223195,5.5,5.469272846787373
10013,43,420147.6061828388,6483196.981509814,38.8,26.741200720344366
10013,44,420147.116953872,6483193.165143087,42.5,27.896148734893657
10009,1,420138.3140353105,6483138.302417345,50.3,29.95400813501059
10009,2,420138.36874931416,6483143.777077733,46.95,29.12582159083251
10009,3,420138.97615306673,6483148.942652309,37.05,26.14650763790089
10009,4,420136.75696668756,6483147.868123658,29.65,23.210988868618283
10009,5,420124.93795734714,6483149.491797951,30.5,23.587626048436153
10009,6,420121.0342244099,6483146.177983054,36.7,26.023497529090783
10009,7,420125.7503384423,6483144.734525941,30.0,23.367461314852488
10009,8,420123.96703588485,6483139.752695757,51.1,30.140784668253172
10009,9,420127.5092926035,6483139.088378561,37.3,26.2335218477605
10009,10,420131.46655747644,6483133.277823102,42.2,27.80729769341974
10009,11,420132.37207603233,6483137.755773095,41.45,27.581613476469432
10010,1,420135.6935810536,6483163.021514224,36.05,25.79129393642567
10010,2,420136.09021783154,6483157.186321057,33.4,24.79107773830932
10010,3,420139.0939640753,6483157.069237741,32.55,24.450799374793732
10010,4,420139.8728340346,6483159.897375218,28.050000000000004,22.469936511439933
10010,5,420137.9126835435,6483163.562332252,41.4,27.566384279129142
10010,6,420140.0327467763,6483167.784385294,37.0,26.129020175275954
10010,7,420139.4560633421,6483172.4331202,29.75,23.255895825418733
10010,8,420127.3030160418,6483170.527040104,31.55,24.037473448997485
10010,9,420122.9537377896,6483161.391424161,44.35,28.42683722745684
10010,10,420131.09680228826,6483153.8506350415,41.5,27.59681948966691
10011,1,420139.55011073506,6483183.092866771,27.05,21.98423655990361
10011,2,420142.44256153714,6483182.340119562,43.85,28.286262399325132
10011,3,420143.44020328484,6483185.059000021,24.45,20.63284430314918
10011,4,420138.7425450654,6483187.557521034,33.75,24.92834464864059
10011,5,420138.9968337606,6483192.3145198,27.250000000000004,22.082820124370272
